district,chiefdom,phu,facility_type,community,population_2023
Bo District,Badjia Chiefdom,Ngelehun (Badjia) CHC,CHC,Ngelehun Town,1600
Bo District,Badjia Chiefdom,Ngelehun (Badjia) CHC,CHC,Jawa,195
Bo District,Badjia Chiefdom,Ngelehun (Badjia) CHC,CHC,Damballa,60
Bo District,Badjia Chiefdom,Ngelehun (Badjia) CHC,CHC,Ngiehun,200
Bo District,Badjia Chiefdom,Ngelehun (Badjia) CHC,CHC,Pelewahun,130
Bo District,Badjia Chiefdom,Ngelehun (Badjia) CHC,CHC,Sasso,50
Bo District,Badjia Chiefdom,Ngelehun (Badjia) CHC,CHC,Pendebu,180
Bo District,Badjia Chiefdom,Ngelehun (Badjia) CHC,CHC,Peyeilla,72
Bo District,Badjia Chiefdom,Ngelehun (Badjia) CHC,CHC,Solima,100
Bo District,Badjia Chiefdom,Ngelehun (Badjia) CHC,CHC,Ngalahun,155
Bo District,Badjia Chiefdom,Ngelehun (Badjia) CHC,CHC,Bangiema,85
Bo District,Badjia Chiefdom,Ngelehun (Badjia) CHC,CHC,Bumpewo,200
Bo District,Badjia Chiefdom,Ngelehun (Badjia) CHC,CHC,Nomiama,450
Bo District,Badjia Chiefdom,Ngelehun (Badjia) CHC,CHC,Griema,120
Bo District,Badjia Chiefdom,Ngelehun (Badjia) CHC,CHC,Madina,110
Bo District,Badjia Chiefdom,Ngelehun (Badjia) CHC,CHC,korjehun,165
Bo District,Badjia Chiefdom,Ngelehun (Badjia) CHC,CHC,Saahn,99
Bo District,Badjia Chiefdom,Ngelehun (Badjia) CHC,CHC,Sembehun,145
Bo District,Badjia Chiefdom,Ngelehun (Badjia) CHC,CHC,Koindu,115
Bo District,Badjia Chiefdom,Ngelehun (Badjia) CHC,CHC,Njagbahun,571
Bo District,Badjia Chiefdom,Ngelehun (Badjia) CHC,CHC,Kebawana,150
Bo District,Badjia Chiefdom,Ngelehun (Badjia) CHC,CHC,Kpuwabu,110
Bo District,Badjia Chiefdom,Ngelehun (Badjia) CHC,CHC,Kpetema,465
Bo District,Badjia Chiefdom,Ngelehun (Badjia) CHC,CHC,Jellu 1,80
Bo District,Badjia Chiefdom,Ngelehun (Badjia) CHC,CHC,Jellu 2,95
Bo District,Badjia Chiefdom,Ngelehun (Badjia) CHC,CHC,Yorvuhun,100
Bo District,Badjia Chiefdom,Njagbahun (Badjia) MCHP,MCHP,,
Bo District,Badjia Chiefdom,Njandama MCHP,MCHP,Njandama town,625
Bo District,Badjia Chiefdom,Njandama MCHP,MCHP,Gumahun,745
Bo District,Badjia Chiefdom,Njandama MCHP,MCHP,Ngiehun,857
Bo District,Badjia Chiefdom,Njandama MCHP,MCHP,Kugbahun,292
Bo District,Badjia Chiefdom,Njandama MCHP,MCHP,Jorkibu,835
Bo District,Badjia Chiefdom,Njandama MCHP,MCHP,Kpakru,296
Bo District,Badjia Chiefdom,Njandama MCHP,MCHP,Faala,379
Bo District,Bagbwe Chiefdom,Barlie MCHP,MCHP,Barlie,1549
Bo District,Bagbwe Chiefdom,Barlie MCHP,MCHP,Gbojeima,1171
Bo District,Bagbwe Chiefdom,Barlie MCHP,MCHP,Njala Kendema,1685
Bo District,Bagbwe Chiefdom,Barlie MCHP,MCHP,Kandu,180
Bo District,Bagbwe Chiefdom,Barlie MCHP,MCHP,Bangabu,168
Bo District,Bagbwe Chiefdom,Barlie MCHP,MCHP,Ngeihun,230
Bo District,Bagbwe Chiefdom,Barlie MCHP,MCHP,Bambara,350
Bo District,Bagbwe Chiefdom,Benduma (Bagbwe) MCHP,MCHP,Benduma,1562
Bo District,Bagbwe Chiefdom,Benduma (Bagbwe) MCHP,MCHP,Yengema,420
Bo District,Bagbwe Chiefdom,Benduma (Bagbwe) MCHP,MCHP,Yangabu,650
Bo District,Bagbwe Chiefdom,Benduma (Bagbwe) MCHP,MCHP,Langulama,210
Bo District,Bagbwe Chiefdom,Benduma (Bagbwe) MCHP,MCHP,Pelewahun,720
Bo District,Bagbwe Chiefdom,Benduma (Bagbwe) MCHP,MCHP,Kpetema,600
Bo District,Bagbwe Chiefdom,Benduma (Bagbwe) MCHP,MCHP,Niahun,267
Bo District,Bagbwe Chiefdom,Benduma (Bagbwe) MCHP,MCHP,Lowoma,500
Bo District,Bagbwe Chiefdom,Kondiama MCHP,MCHP,Kodiama,886
Bo District,Bagbwe Chiefdom,Kondiama MCHP,MCHP,Faabu,91
Bo District,Bagbwe Chiefdom,Kondiama MCHP,MCHP,Bandaju,467
Bo District,Bagbwe Chiefdom,Kondiama MCHP,MCHP,Gbaama,883
Bo District,Bagbwe Chiefdom,Kondiama MCHP,MCHP,Mokpende,393
Bo District,Bagbwe Chiefdom,Kondiama MCHP,MCHP,Venima,131
Bo District,Bagbwe Chiefdom,Kpetema (Bagbwe) MCHP,MCHP,,
Bo District,Bagbwe Chiefdom,Mendewa MCHP,MCHP,Mendewa,696
Bo District,Bagbwe Chiefdom,Mendewa MCHP,MCHP,Kpakuma,337
Bo District,Bagbwe Chiefdom,Mendewa MCHP,MCHP,Vengema,398
Bo District,Bagbwe Chiefdom,Mendewa MCHP,MCHP,Baama,586
Bo District,Bagbwe Chiefdom,Mendewa MCHP,MCHP,Palima,496
Bo District,Bagbwe Chiefdom,Mendewa MCHP,MCHP,Kpetema,426
Bo District,Bagbwe Chiefdom,Mendewa MCHP,MCHP,Kojo Ngeihun,389
Bo District,Bagbwe Chiefdom,Ngalu CHC,CHC,Ngalu,1635
Bo District,Bagbwe Chiefdom,Ngalu CHC,CHC,Foinda,150
Bo District,Bagbwe Chiefdom,Ngalu CHC,CHC,Konjordoma,435
Bo District,Bagbwe Chiefdom,Ngalu CHC,CHC,Niagorehun,100
Bo District,Bagbwe Chiefdom,Ngalu CHC,CHC,Kpuawala,105
Bo District,Bagbwe Chiefdom,Ngalu CHC,CHC,Manopendorbu,961
Bo District,Bagbwe Chiefdom,Ngalu CHC,CHC,Kowama,450
Bo District,Bagbwe Chiefdom,Ngalu CHC,CHC,Wallihun,106
Bo District,Bagbwe Chiefdom,Ngalu CHC,CHC,Gbaama Tabima,320
Bo District,Bagbwe Chiefdom,Ngalu CHC,CHC,Kpatou,325
Bo District,Bagbwe Chiefdom,Ngalu CHC,CHC,Yaweh,110
Bo District,Bagbwe Chiefdom,Ngalu CHC,CHC,Blama1,350
Bo District,Bagbwe Chiefdom,Ngalu CHC,CHC,Gibima,500
Bo District,Bagbwe Chiefdom,Ngalu CHC,CHC,Kpetewoma,210
Bo District,Bagbwe Chiefdom,Ngalu CHC,CHC,Kebawana,190
Bo District,Bagbwe Chiefdom,Samie Buma MCHP,MCHP,Samie,890
Bo District,Bagbwe Chiefdom,Samie Buma MCHP,MCHP,Buma,857
Bo District,Bagbwe Chiefdom,Samie Buma MCHP,MCHP,Kpawula,620
