district,chiefdom,phu,facility_type,community,population_2023,dp_name,dp_type
Bo District,Badjia Chiefdom,Ngelehun (Badjia) CHC,CHC,Bangiema,85,Ngelehun CHC,Fixed
Bo District,Badjia Chiefdom,Ngelehun (Badjia) CHC,CHC,Bumpewo,200,Ngelehun CHC,Fixed
Bo District,Badjia Chiefdom,Ngelehun (Badjia) CHC,CHC,Damballa,60,Ngelehun CHC,Fixed
Bo District,Badjia Chiefdom,Ngelehun (Badjia) CHC,CHC,Griema,120,Nomiama Court Barray,Outreach
Bo District,Badjia Chiefdom,Ngelehun (Badjia) CHC,CHC,Jawa,195,Ngelehun CHC,Fixed
Bo District,Badjia Chiefdom,Ngelehun (Badjia) CHC,CHC,Jellu 1,80,Kpetema Court Barry,Outreach
Bo District,Badjia Chiefdom,Ngelehun (Badjia) CHC,CHC,Jellu 2,95,Kpetema Court Barry,Outreach
Bo District,Badjia Chiefdom,Ngelehun (Badjia) CHC,CHC,Kebawana,150,Njagbahun MCHP,Outreach
Bo District,Badjia Chiefdom,Ngelehun (Badjia) CHC,CHC,Koindu,115,Nomiama Court Barray,Outreach
Bo District,Badjia Chiefdom,Ngelehun (Badjia) CHC,CHC,Korjehun,165,Nomiama Court Barray,Outreach
Bo District,Badjia Chiefdom,Ngelehun (Badjia) CHC,CHC,Kpetema,465,Kpetema Court Barry,Outreach
Bo District,Badjia Chiefdom,Ngelehun (Badjia) CHC,CHC,Kpuwabu,110,Njagbahun MCHP,Outreach
Bo District,Badjia Chiefdom,Ngelehun (Badjia) CHC,CHC,Madina,110,Nomiama Court Barray,Outreach
Bo District,Badjia Chiefdom,Ngelehun (Badjia) CHC,CHC,Ngalahun,155,Ngelehun CHC,Fixed
Bo District,Badjia Chiefdom,Ngelehun (Badjia) CHC,CHC,Ngelehun Town,1600,Ngelehun CHC,Fixed
Bo District,Badjia Chiefdom,Ngelehun (Badjia) CHC,CHC,Ngiehun,200,Ngelehun CHC,Fixed
Bo District,Badjia Chiefdom,Ngelehun (Badjia) CHC,CHC,Njagbahun,571,Njagbahun MCHP,Outreach
Bo District,Badjia Chiefdom,Ngelehun (Badjia) CHC,CHC,Nomiama,450,Nomiama Court Barray,Outreach
Bo District,Badjia Chiefdom,Ngelehun (Badjia) CHC,CHC,Pelewahun,130,Ngelehun CHC,Fixed
Bo District,Badjia Chiefdom,Ngelehun (Badjia) CHC,CHC,Pendebu,180,Ngelehun CHC,Fixed
Bo District,Badjia Chiefdom,Ngelehun (Badjia) CHC,CHC,Peyeilla,72,Ngelehun CHC,Fixed
Bo District,Badjia Chiefdom,Ngelehun (Badjia) CHC,CHC,Saahn,99,Nomiama Court Barray,Outreach
Bo District,Badjia Chiefdom,Ngelehun (Badjia) CHC,CHC,Sasso,50,Ngelehun CHC,Fixed
Bo District,Badjia Chiefdom,Ngelehun (Badjia) CHC,CHC,Sembehun,145,Nomiama Court Barray,Outreach
Bo District,Badjia Chiefdom,Ngelehun (Badjia) CHC,CHC,Solima,100,Ngelehun CHC,Fixed
Bo District,Badjia Chiefdom,Ngelehun (Badjia) CHC,CHC,Yorvuhun,100,Kpetema Court Barry,Outreach
Bo District,Badjia Chiefdom,Njagbahun (Badjia) MCHP,MCHP,,,,
Bo District,Badjia Chiefdom,Njandama MCHP,MCHP,Faala,379,Jorkibua Court Barry,Outreach
Bo District,Badjia Chiefdom,Njandama MCHP,MCHP,Gumahun,745,Njandama MCHP,Fixed
Bo District,Badjia Chiefdom,Njandama MCHP,MCHP,Jorkibu,835,Jorkibua Court Barry,Outreach
Bo District,Badjia Chiefdom,Njandama MCHP,MCHP,Kpakru,296,Jorkibua Court Barry,Outreach
Bo District,Badjia Chiefdom,Njandama MCHP,MCHP,Kugbahun,292,Njandama MCHP,Fixed
Bo District,Badjia Chiefdom,Njandama MCHP,MCHP,Ngiehun,857,Njandama MCHP,Fixed
